timestamp,cpu,memory
1668098531.3558707,23.9,63.0
1668098561.379884,13.0,65.5
1668098591.4078677,12.8,67.1
1668098621.4359066,13.6,68.3
1668098651.463906,12.6,69.6
1668098681.4714475,11.3,70.4
1668098711.4999032,11.3,70.7
1668098741.5207334,11.6,71.8
1668098771.5408902,11.6,73.5
1668098801.555632,11.2,74.5
1668098831.5838945,10.9,76.2
1668098861.5867276,10.1,77.0
1668098891.6159008,10.1,77.5
1668098921.643897,9.9,77.6
1668098951.6719017,9.8,77.9
1668098981.699897,9.9,78.3
1668099011.7307413,9.9,79.4
1668099041.7598994,9.9,80.1
1668099071.7878902,9.7,81.1
1668099101.8163884,9.4,81.3
1668099131.8463647,9.9,82.0
1668099161.8771822,9.9,82.1
1668099191.9044743,9.9,82.4
1668099221.9111288,10.0,82.7
1668099251.9414384,9.5,83.7
1668099281.972262,9.3,84.5
1668099312.0014622,10.0,85.1
1668099342.0318744,9.8,85.6
1668099372.0515354,9.6,85.6
1668099402.0798767,9.6,86.0
1668099432.107895,9.6,86.0
1668099462.1386254,9.5,86.0
1668099492.1679094,10.0,86.1
1668099522.1959105,10.3,86.1
1668099552.2238998,10.1,86.6
1668099582.2518904,9.4,86.5
1668099612.279868,9.7,86.7
1668099642.3105183,9.4,86.8
1668099672.339884,9.6,86.6
1668099702.3678794,9.4,86.8
1668099732.3901992,9.7,86.7
1668099762.4198983,9.8,86.8
1668099792.447887,9.5,86.7
1668099822.475901,9.6,87.0
1668099852.5025172,10.0,87.4
1668099882.5247934,9.8,87.3
1668099912.5518723,9.8,87.4
1668099942.5588074,9.7,87.4
1668099972.587878,9.7,87.2
1668100002.6159008,9.4,87.1
1668100032.6231792,9.5,87.2
1668100062.6540546,9.4,87.2
1668100092.672647,9.6,87.2
1668100122.6998897,9.7,87.0
1668100152.7202864,9.7,86.8
1668100182.7478635,9.4,86.9
1668100212.764747,9.8,86.9
1668100242.791874,9.7,86.7
1668100272.8198857,9.7,86.5
1668100302.8478866,9.7,86.5
1668100332.8758855,9.7,86.4
1668100362.9039083,9.3,86.5
1668100392.9318943,9.1,86.3
1668100422.9598944,9.2,86.3
1668100452.9840105,9.4,86.4
1668100483.011899,9.5,86.2
1668100513.0399003,9.6,85.8
1668100543.067861,9.4,85.8
1668100573.0958993,9.7,85.9
1668100603.1239026,10.1,85.7
1668100633.1426184,9.9,85.6
1668100663.171898,9.9,85.6
1668100693.1998997,9.9,85.6
1668100723.2075417,10.3,85.3
1668100753.235894,10.1,85.1
1668100783.2667117,10.0,85.1
1668100813.295899,10.0,85.1
1668100843.3238661,9.6,85.1
1668100873.3518856,9.9,85.0
1668100903.3799043,9.7,85.0
1668100933.4079,10.4,84.6
1668100963.435895,9.8,84.5
1668100993.4560218,10.0,84.4
1668101023.4647803,9.7,84.5
1668101053.4729123,10.0,84.5
1668101083.480082,10.0,84.5
1668101113.509783,9.8,84.4
1668101143.5399065,10.1,84.2
1668101173.5679982,10.1,84.1
1668101203.595885,10.0,84.2
1668101233.6248446,9.9,84.3
1668101263.6518931,10.3,84.3
1668101293.679896,10.2,84.1
1668101323.7078962,10.3,83.9
1668101353.7359035,10.0,83.9
1668101383.7664974,10.3,83.9
1668101413.795891,10.1,83.8
1668101443.8238513,10.0,83.6
1668101473.8533897,10.2,83.3
1668101503.8839114,10.2,83.3
1668101533.913249,9.9,83.2
1668101563.944032,9.9,83.2
1668101593.9702675,10.1,82.9
1668101623.9729958,10.1,82.7
1668101653.9998765,10.0,82.6
1668101684.0279047,10.2,82.6
1668101714.0558827,10.2,82.3
1668101744.0594194,9.9,82.2
1668101774.0879197,10.5,81.9
1668101804.1158917,10.0,81.9
1668101834.1183465,10.3,81.6
1668101864.1478944,10.2,81.5
1668101894.166225,10.2,81.2
1668101924.1958997,10.0,81.1
1668101954.223898,10.4,80.9
1668101984.2518995,10.0,80.7
1668102014.279901,10.3,80.5
1668102044.3042374,10.0,80.3
1668102074.3318994,10.1,80.1
1668102104.360124,9.9,80.0
