timestamp,cpu,memory
1667920348.5767207,51.9,31.6
1667920378.6051283,40.9,32.0
1667920408.6318731,34.1,32.4
1667920438.6598597,29.8,32.8
1667920468.6905396,28.4,33.0
1667920498.719882,28.2,33.4
1667920528.74786,28.9,34.0
1667920558.7758846,28.8,34.6
1667920588.8039067,29.5,34.9
1667920618.8318756,28.2,35.4
1667920648.85987,30.4,36.1
1667920678.8878632,27.2,36.3
1667920708.906869,27.5,36.7
1667920738.9359496,27.4,37.3
1667920768.9638636,28.0,37.4
1667920798.993272,31.1,38.2
1667920829.0238607,31.5,38.2
1667920859.0367472,26.7,38.6
1667920889.0484793,31.2,39.0
1667920919.075881,27.7,39.0
1667920949.095411,29.4,40.1
1667920979.1238616,29.8,40.2
1667921009.1518636,29.2,40.3
1667921039.179876,29.4,41.3
1667921069.2078786,28.3,41.3
1667921099.2120652,30.1,41.3
1667921129.2398648,29.7,42.6
1667921159.267855,31.8,42.6
1667921189.2958796,32.5,42.7
1667921219.324208,32.5,42.9
1667921249.351877,36.8,44.1
1667921279.3798435,36.8,44.3
1667921309.4079387,37.1,44.3
1667921339.4358552,37.0,44.4
1667921369.4638546,39.0,45.7
1667921399.464913,41.0,45.7
1667921429.491858,43.4,46.0
1667921459.5198593,41.5,46.2
1667921489.5478647,45.0,47.6
1667921519.5758665,43.2,47.7
1667921549.5953474,43.5,47.7
1667921579.62621,45.5,47.9
1667921609.6507454,44.8,49.4
1667921639.679874,45.5,49.4
1667921669.7078931,44.8,49.4
1667921699.7358453,44.4,49.5
1667921729.7638547,45.6,50.8
1667921759.7934756,44.2,50.7
1667921789.8238978,43.1,50.7
1667921819.8518832,44.0,50.8
1667921849.8761349,42.4,51.8
1667921879.9038508,40.0,51.8
1667921909.9343722,40.4,51.8
1667921939.9638727,37.9,51.8
1667921969.9918628,39.9,52.1
1667922000.0208998,35.7,52.1
1667922030.0499568,38.1,52.1
1667922060.0798824,33.0,52.1
1667922090.1078873,34.0,52.1
1667922120.1359358,36.3,52.1
1667922150.163872,33.7,52.1
1667922180.1934261,34.4,52.1
1667922210.2238607,36.8,52.6
1667922240.229666,38.0,52.7
1667922270.259893,38.6,52.7
1667922300.2736776,38.5,52.7
1667922330.303881,39.6,53.1
1667922360.3297083,43.8,52.2
1667922390.3598778,40.7,52.3
1667922420.3878691,41.8,52.3
1667922450.4158912,41.2,52.3
1667922480.443872,42.8,52.3
1667922510.471864,42.6,52.3
1667922540.502634,40.5,52.3
1667922570.517789,40.4,52.4
1667922600.5478497,42.5,52.5
1667922630.5700982,39.8,52.5
1667922660.5813508,41.0,52.5
1667922690.6118665,41.4,52.7
1667922720.6426759,40.6,52.8
1667922750.6719072,40.1,52.8
1667922780.7025828,39.8,52.8
1667922810.7318857,41.1,52.8
1667922840.7598598,43.8,52.9
1667922870.787883,41.5,52.8
1667922900.801954,41.8,52.9
1667922930.8326335,42.6,54.0
1667922960.8598835,44.2,54.3
1667922990.879227,42.0,53.7
1667923020.9078577,41.6,53.8
1667923050.9177418,42.0,53.8
1667923080.9478629,44.7,53.8
1667923110.97587,41.7,53.8
1667923140.9882119,42.0,53.5
1667923171.0187702,42.0,53.9
1667923201.0495257,43.1,53.9
1667923231.0638635,42.4,54.0
1667923261.091869,40.5,53.9
1667923291.1198583,40.5,53.9
1667923321.1478746,43.3,53.9
1667923351.175901,41.2,54.0
1667923381.2038674,41.5,54.0
1667923411.205118,41.3,54.0
1667923441.231883,43.7,54.0
1667923471.2388036,39.1,54.0
1667923501.2678592,41.7,54.0
1667923531.2940853,41.2,54.0
1667923561.3247738,42.5,54.2
1667923591.3483875,40.5,54.2
1667923621.3758807,42.0,54.2
1667923651.4038658,40.8,54.2
1667923681.4253948,43.5,54.3
1667923711.4558675,40.2,54.3
1667923741.4838953,25.8,54.3
1667923771.5118682,40.2,54.3
1667923801.539851,38.9,54.3
1667923831.5504858,34.7,54.3
1667923861.5798736,40.1,54.3
1667923891.6109347,39.8,54.3
1667923921.6122806,43.0,54.6
