Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
344,3,2,121,47,5,4,234,0
344,3,3,122,48,3,3,235,0
408,6,2,3,51,4,5,135,0
402,3,3,121,49,2,4,230,0
397,4,3,3,56,4,4,138,0
369,3,3,122,44,3,3,228,0
373,4,2,122,44,3,3,229,0
372,4,3,4,50,3,3,114,0
473,4,57,121,48,58,4,342,1
374,4,3,122,51,3,4,237,0
378,4,2,121,53,3,4,240,0
373,4,2,121,54,3,3,236,0
415,6,3,3,57,4,4,149,0
374,4,3,4,46,4,4,130,0
356,3,2,123,47,3,3,236,0
525,46,45,2,102,3,4,256,2
355,3,3,122,50,3,3,240,0
358,3,2,4,50,3,3,120,0
367,4,3,3,42,3,4,109,0
351,5,2,122,50,3,3,237,0
503,48,45,122,100,3,3,372,2
378,4,2,122,49,4,4,230,0
514,46,45,4,112,3,3,265,2
392,5,3,121,50,5,4,246,0
521,48,46,3,115,3,5,275,2
530,5,58,3,53,58,4,247,1
388,4,4,122,52,3,5,240,0
366,4,2,122,42,3,3,222,0
522,47,45,4,100,3,4,251,2
417,5,2,121,54,5,5,256,0
382,4,2,3,48,3,4,109,0
397,5,2,3,52,3,4,134,0
524,48,46,122,98,2,3,365,2
533,46,46,5,110,2,3,262,2
419,6,4,122,56,5,5,260,0
379,4,2,4,44,4,3,113,0
398,6,2,122,53,4,4,244,0
516,46,46,122,107,3,2,373,2
369,5,3,122,47,3,2,228,0
502,47,45,122,103,4,2,373,2
352,4,3,4,47,3,3,113,0
410,5,2,121,53,3,4,255,0
529,5,58,5,56,59,4,255,1
565,48,46,121,113,3,4,403,2
558,48,46,4,112,4,5,285,2
415,6,4,122,52,3,4,252,0
366,4,3,122,41,3,3,250,0
387,4,3,3,51,4,3,123,0
416,5,3,4,47,3,3,120,0
380,5,3,122,47,3,3,232,0
401,4,2,4,48,4,3,132,0
413,4,3,4,51,3,8,133,0
395,5,3,122,47,4,6,243,0
327,4,2,121,41,3,4,222,0
367,3,3,4,51,4,4,122,0
369,3,3,3,40,3,2,100,0
369,4,2,4,43,2,4,116,0
472,4,59,122,57,59,3,354,1
365,4,2,121,49,3,4,233,0
377,4,3,4,52,3,3,121,0
340,4,2,3,45,3,4,112,0
434,6,3,122,59,4,5,270,0
388,3,2,3,51,3,3,118,0
377,5,3,122,46,4,4,236,0
394,4,3,122,55,3,2,244,0
379,8,3,5,47,4,4,126,0
488,5,58,123,54,59,4,351,1
348,4,2,122,43,3,4,228,0
350,3,2,3,44,3,4,115,0
429,6,4,4,52,5,5,141,0
518,47,46,123,105,4,4,385,2
364,4,2,121,41,3,3,228,0
369,3,3,4,43,3,4,113,0
533,49,46,122,109,3,4,394,2
542,48,45,4,105,3,4,269,2
375,4,3,122,48,3,4,232,0
380,4,3,122,55,4,3,247,0
378,4,3,4,45,5,4,115,0
372,3,2,122,48,3,4,236,0
365,4,3,122,40,4,3,222,0
398,5,2,121,53,3,7,255,0
359,4,2,4,47,3,3,113,0
557,46,46,4,105,3,4,264,2
377,3,3,122,51,3,4,236,0
373,5,3,122,45,3,4,234,0
373,4,4,121,48,3,3,236,0
355,3,3,122,43,3,3,228,0
378,4,3,5,49,3,4,114,0
479,6,58,4,45,58,4,221,1
463,4,58,121,50,58,4,345,1
360,4,3,123,52,3,3,244,0
382,5,2,4,49,3,3,119,0
364,4,2,121,47,3,3,236,0
377,4,2,122,49,4,4,236,0
354,3,2,4,41,3,3,105,0
401,3,3,122,49,3,3,237,0
359,4,3,4,48,3,4,117,0
375,4,2,122,44,3,4,229,0
379,4,4,122,44,4,4,234,0
523,47,46,4,105,5,4,266,2
404,5,3,4,49,4,5,135,0
369,4,3,4,53,3,4,126,0
404,6,3,123,56,4,3,271,0
361,4,3,121,43,3,4,233,0
368,3,3,4,48,3,3,120,0
374,3,3,122,45,3,3,229,0
361,3,2,122,46,3,3,235,0
395,3,2,3,47,4,3,113,0
366,3,2,3,45,3,3,107,0
358,2,3,4,49,4,4,112,0
402,5,2,4,52,3,4,134,0
488,4,57,4,51,58,4,231,1
370,3,2,3,48,3,4,112,0
536,6,57,122,59,59,2,373,1
365,3,3,122,47,3,3,228,0
352,3,3,5,44,2,3,101,0
384,4,3,121,46,3,3,233,0
382,4,3,122,48,3,3,235,0
402,4,3,121,48,3,4,257,0
366,4,2,3,48,4,3,118,0
499,47,46,4,111,3,4,268,2
351,3,2,4,51,4,3,117,0
389,4,2,122,54,3,4,244,0
354,4,2,122,49,4,4,232,0
381,4,3,122,46,3,2,237,0
386,4,3,3,53,4,4,123,0
559,48,45,122,114,3,4,412,2
358,4,2,122,49,4,4,236,0
504,46,46,122,112,5,3,387,2
379,6,3,122,51,3,4,243,0
443,6,3,123,61,6,4,287,0
353,4,2,3,45,3,3,109,0
415,6,3,4,43,4,5,121,0
367,3,3,3,52,3,3,115,0
339,3,2,4,45,3,3,105,0
379,4,3,3,38,2,4,110,0
367,4,3,122,51,3,4,241,0
392,5,3,4,46,3,4,128,0
403,4,3,121,47,4,4,242,0
480,3,58,3,51,58,3,230,1
532,48,46,122,110,3,3,386,2
365,5,2,123,49,4,4,241,0
495,5,58,122,51,59,4,351,1
365,2,2,3,48,3,4,118,0
366,3,2,120,46,3,3,221,0
366,4,2,121,47,3,4,226,0
373,4,3,5,43,3,5,116,0
412,4,3,123,40,2,3,222,0
423,6,3,122,54,4,6,263,0
362,4,2,121,49,3,4,235,0
367,3,2,122,46,3,3,231,0
504,5,58,4,44,58,4,224,1
505,4,59,4,50,58,3,235,1
578,47,46,4,112,4,5,284,2
341,4,3,3,42,4,4,113,0
369,4,3,122,50,3,3,238,0
403,5,3,122,48,4,5,255,0
455,4,58,3,46,59,2,217,1
392,5,3,122,44,4,4,233,0
355,3,3,122,44,4,4,230,0
376,7,3,122,50,3,4,243,0
348,4,3,4,54,3,4,127,0
474,4,58,122,46,59,3,338,1
378,10,3,121,44,3,5,236,0
342,3,2,4,43,3,3,110,0
356,4,2,122,44,4,4,231,0
486,4,58,4,46,58,4,226,1
347,3,2,121,46,3,3,234,0
368,3,2,6,50,2,3,119,0
511,6,58,122,53,59,3,356,1
373,4,3,122,55,2,3,238,0
398,5,3,4,52,4,4,129,0
365,4,3,5,54,3,4,126,0
439,7,4,5,52,4,5,147,0
374,3,3,122,44,4,4,237,0
328,4,2,121,38,3,3,203,0
366,4,1,3,48,3,4,111,0
360,4,2,121,43,2,3,228,0
465,4,57,122,47,60,3,347,1
493,5,57,121,47,59,4,349,1
370,3,2,122,45,3,3,234,0
363,4,3,4,49,3,3,117,0
390,10,3,4,54,3,4,134,0
517,6,58,122,48,60,4,362,1
355,4,2,122,47,3,3,228,0
356,6,2,121,40,4,3,226,0
372,4,2,4,46,4,4,116,0
379,4,3,121,47,2,3,234,0
470,3,3,123,44,4,4,230,0
486,4,57,5,50,59,3,228,1
414,6,2,3,48,3,6,134,0
499,49,45,122,103,3,4,381,2
360,5,2,122,54,4,3,242,0
361,4,2,4,50,4,3,116,0
377,4,2,4,44,3,3,115,0
362,4,2,122,48,3,3,227,0
535,47,46,3,111,4,3,274,2
378,4,2,122,56,4,5,249,0
417,6,3,4,48,4,4,138,0
466,3,57,121,46,59,4,339,1
381,4,2,4,48,3,3,113,0
365,3,3,122,48,3,3,231,0
376,3,2,4,43,3,3,109,0
535,5,58,123,48,59,4,355,1
377,3,2,4,48,4,4,119,0
556,48,47,4,122,4,4,286,2
362,4,2,3,46,4,4,114,0
378,4,2,3,43,3,2,116,0
438,5,4,123,48,6,4,246,0
477,4,58,4,48,59,3,228,1
385,4,3,122,53,2,4,243,0
400,5,3,4,52,3,5,139,0
371,4,3,122,47,4,5,236,0
370,4,2,4,48,3,3,113,0
359,3,2,3,45,4,4,113,0
366,4,2,122,42,4,3,227,0
374,4,4,122,53,3,4,238,0
422,6,3,121,60,4,4,266,0
522,48,46,122,116,4,4,391,2
478,4,58,4,39,59,4,222,1
370,4,4,122,54,4,4,246,0
369,3,3,122,44,3,4,230,0
367,5,3,4,49,3,4,125,0
386,5,7,6,49,4,4,129,0
398,7,2,4,58,3,4,129,0
477,4,58,3,43,58,3,222,1
371,4,3,122,53,3,4,239,0
364,4,3,3,44,4,5,117,0
378,4,2,4,50,3,2,118,0
496,47,45,4,107,3,3,260,2
