Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
150,23,28,5,2,6,6,15,53,19,34,31,17,12,18,0
157,28,29,7,28,6,5,18,50,22,42,32,12,12,13,0
170,39,22,5,3,35,3,13,71,17,49,24,9,10,10,1
109,19,20,4,3,4,3,13,33,16,30,22,8,10,8,0
107,20,19,4,3,4,3,12,33,16,30,21,8,9,8,0
125,21,23,5,27,5,4,16,40,16,32,25,9,11,10,0
120,18,26,4,27,11,7,13,40,15,28,28,9,9,8,0
108,24,18,4,3,4,2,12,31,16,34,20,8,8,8,0
132,22,21,5,4,6,3,17,44,16,34,23,10,12,11,0
173,40,21,5,4,35,3,15,67,16,52,23,10,8,9,1
128,21,29,5,27,5,3,13,40,26,32,31,9,10,9,0
89,18,14,3,2,3,3,9,29,13,27,15,6,8,6,0
192,21,28,4,27,32,4,17,97,17,33,30,27,11,34,2
123,22,22,4,3,4,3,15,38,16,34,24,10,11,10,0
104,18,19,4,2,3,2,13,34,15,27,20,7,8,7,0
138,23,23,5,3,5,4,20,44,17,36,25,10,11,11,0
171,39,20,5,3,36,3,13,68,16,50,22,10,10,9,1
110,19,19,5,26,4,3,13,35,15,28,21,8,9,9,0
108,20,19,5,26,5,3,13,35,16,29,21,7,9,8,0
110,21,20,4,26,4,3,13,34,18,30,22,8,9,8,0
135,20,21,5,4,5,3,19,55,16,31,23,9,16,10,0
158,28,29,6,3,6,5,18,52,21,41,32,13,13,13,0
107,20,20,4,3,4,4,13,32,16,30,21,7,9,8,0
113,19,19,5,2,4,3,13,39,16,29,21,13,9,14,0
106,19,19,4,2,3,3,12,33,15,29,20,8,9,8,0
112,20,20,4,3,4,3,12,36,16,30,22,9,10,9,0
100,19,19,3,26,4,3,12,30,15,28,20,7,9,8,0
108,20,19,4,2,4,3,13,34,16,30,21,8,9,8,0
111,17,17,4,26,4,3,11,36,13,34,19,8,9,10,0
117,20,21,5,27,5,3,13,38,16,30,23,9,10,9,0
102,18,18,4,27,5,2,11,34,15,28,19,8,8,9,0
