exp,trial,num_pat,algo,fmeasure,precision,recall,time
0,0,2,gra,0.9851632047477744,1.0,0.9707602339181286,47.80883922055364
0,0,2,ga,0.9978689397975493,1.0,0.9957469431153642,15.114553160965443
0,0,2,bnb,1.0,1.0,1.0,16.011203352361917
0,0,2,decaf,0.5118256710071751,0.5116896918172157,0.5119617224880383,0.5778460949659348
0,0,2,kmeans,0.6802386802386803,1.0,0.5154255319148936,2.36334128677845
0,0,2,hierarchical,0.6802386802386803,1.0,0.5154255319148936,2.2636108584702015
1,0,2,gra,0.8597122302158273,0.9937629937629938,0.757527733755943,34.450601778924465
1,0,2,ga,0.9976171564733916,1.0,0.9952456418383518,15.436837933957577
1,0,2,bnb,1.0,1.0,1.0,16.25357026606798
1,0,2,decaf,0.8005920913512371,0.6674894217207334,1.0,0.6516606695950031
1,0,2,kmeans,0.6718146718146718,1.0,0.5058139534883721,2.2861272655427456
1,0,2,hierarchical,0.6718146718146718,1.0,0.5058139534883721,2.4317480847239494
2,0,2,gra,0.9690495754587783,0.9994350282485875,0.9404572036150983,31.327003467828035
2,0,2,ga,0.5118256710071751,0.5116896918172157,0.5119617224880383,12.861569050699472
2,0,2,bnb,0.6772151898734178,1.0,0.5119617224880383,13.347097031772137
2,0,2,decaf,0.5120978463174688,0.5122340425531915,0.5119617224880383,0.6665458157658577
2,0,2,kmeans,0.6760563380281689,0.9989594172736732,0.5109100585417775,2.2753561176359653
2,0,2,hierarchical,0.6760563380281689,0.9989594172736732,0.5109100585417775,1.9677605479955673
3,0,2,gra,0.9025670945157527,1.0,0.822434875066454,39.043155919760466
3,0,2,ga,0.9619205298013245,1.0,0.9266347687400319,15.645956378430128
3,0,2,bnb,1.0,1.0,1.0,18.159687504172325
3,0,2,decaf,0.7905077825976013,0.7600588812561334,0.823498139287613,0.656076230108738
3,0,2,kmeans,0.6889818688981869,1.0,0.5255319148936171,2.2304295673966408
3,0,2,hierarchical,0.6889818688981869,1.0,0.5255319148936171,1.9772994369268417
4,0,2,gra,0.6731980405878236,0.9907312049433573,0.5098039215686274,33.865076180547476
4,0,2,ga,0.9791723018663782,1.0,0.9591944886062533,20.405734226107597
4,0,2,bnb,0.9997349589186323,1.0,0.9994700582935877,25.731969859451056
4,0,2,decaf,0.6684169073247572,0.6623309053069719,0.6746157922628511,0.6370127610862255
4,0,2,kmeans,0.8465671641791045,0.9685792349726776,0.7518557794273595,2.2425747364759445
4,0,2,hierarchical,0.9686213991769548,0.9405594405594405,0.9984093319194062,2.0399669744074345
5,0,2,gra,0.9997376016793492,0.9994753410283316,1.0,33.99422947689891
5,0,2,ga,0.5118110236220472,0.5118110236220472,0.5118110236220472,12.88610715419054
5,0,2,bnb,0.3404696132596685,0.49747729566094856,0.2587926509186352,13.244323011487722
5,0,2,decaf,0.5118110236220472,0.5118110236220472,0.5118110236220472,0.7120391093194485
5,0,2,kmeans,0.6814558058925477,1.0,0.5168243953732913,2.1729305125772953
5,0,2,hierarchical,0.6814558058925477,1.0,0.5168243953732913,2.1179688423871994
6,0,2,gra,0.9871589085072231,1.0,0.9746434231378764,38.985355384647846
6,0,2,ga,0.9944223107569722,1.0,0.9889064976228209,19.93318784609437
6,0,2,bnb,1.0,1.0,1.0,31.21420669183135
6,0,2,decaf,0.6401858304297329,0.5713101160862355,0.7279450607501321,0.6023385673761368
6,0,2,kmeans,0.6842837273991654,1.0,0.5200845665961945,2.1545392237603664
6,0,2,hierarchical,0.6842837273991654,1.0,0.5200845665961945,2.183846164494753
7,0,2,gra,0.9997369113391212,1.0,0.9994739610731194,30.217181831598282
7,0,2,ga,0.5103920021047093,0.5105263157894737,0.5102577590741715,13.449051965028048
7,0,2,bnb,0.6757227446882619,1.0,0.5102577590741715,13.766485445201397
